"","business_id","city","review_count","name","longitude","state","stars","latitude","type"
"4823","IjcKyB-LUnev2iapzyJ11w","Henderson",16,"Smith's Food & Drug Stores",-115.0839455,"NV",3.5,36.0274982,"business"
"4824","Y3jVDgLRULH52M4_fXQOug","Henderson",18,"McDonald's",-115.063136,"NV",1.5,36.025017,"business"
"4825","SP5yg5966RD-1qcgYmDGdg","Henderson",17,"Desert Willow Golf Course",-115.07668,"NV",4,36.0060209,"business"
"4826","gfamsLvfcxwJ8cS1i7WCJg","Henderson",13,"Albertsons",-115.048919677734,"NV",2.5,36.0204162597656,"business"
"4827","EC1kiRed8UwOGX6Ftqc9Tg","Henderson",6,"7-Eleven",-115.047841,"NV",3.5,36.022027,"business"
"4828","CwTYM1-zs80BB1AWJrWmxQ","Henderson",36,"China A Go Go",-115.063401,"NV",3.5,36.024514,"business"
"4829","vKucFgOyPBx0yeNxnlmsXA","Henderson",3,"Eyemasters",-115.045795,"NV",4,36.065797,"business"
"4830","PaLJoYycupjosFKHTNzpHQ","Henderson",30,"Marie Callender's Restaurant & Bakery",-115.0458375,"NV",3,36.0595946,"business"
"4831","1kVg1hADY5MUGMYuuHRJSw","Henderson",9,"Domino's Pizza",-115.047811,"NV",3,36.020606,"business"
"4832","uzztTCsg3XAKlYqmLO40aw","Las Vegas",7,"Psychic Eye Book Shops",-115.1194225,"NV",4.5,36.0839363,"business"
"4833","aPCjthx3e3C2f2lSdhwVsQ","Henderson",17,"Nice Nails",-115.047811,"NV",3.5,36.020606,"business"
"4834","bjOoO1Cfv3E4Oowes0kzDg","Henderson",4,"Jack In the Box",-115.049224,"NV",4,36.021584,"business"
"4835","TxL5an-BgZ25rG_1qw9lJQ","Henderson",6,"John Mario's Barber Salon",-115.046437,"NV",4.5,36.026002,"business"
"4836","oksXk_PEtYrWJJBGNhl5zw","Henderson",10,"Wok In Express",-115.029916,"NV",3.5,36.030262,"business"
"4837","6Fi-mc1UF6XJzpzzPtrsAg","Henderson",13,"CVS/pharmacy",-114.9928399,"NV",3,36.0116136,"business"
"4838","QOpiGIFYkEFBErFSyGTbDA","Henderson",4,"Allegro At La Entrada Apartments",-115.027619,"NV",4.5,36.028266,"business"
"4839","V6csWcyvwOg_E2ni3V_CgA","Henderson",57,"Little Dumpling",-115.0469723,"NV",3,36.022941,"business"
"4840","YWLO4XUYsyMyEc0ciUAp0Q","Henderson",4,"Timberlake",-115.027505,"NV",3.5,36.0304689,"business"
"4841","RBv779mYU5Qh9opHID3sSQ","Henderson",6,"Stephanie Animal Hospital",-115.0476082,"NV",4,36.0198125,"business"
"4842","4Yey1uA5MgbioqvkANN-9Q","Henderson",7,"Walgreens",-115.046604,"NV",2,36.022302,"business"
"4843","7uF3f4YrF5MQEPTKfEEPiw","Henderson",6,"Liaisons Salon & Spa",-115.0832881,"NV",5,36.0048909,"business"
"4844","aL3jh6_oa9rrSIP7kgtwPw","Henderson",3,"Gymboree Play & Music",-115.0856611,"NV",3.5,36.0273573,"business"
"4845","IspFZDcpu9W5NvvJ7QgJZg","Las Vegas",6,"Gap",-115.146372,"NV",4.5,36.124423,"business"
"4846","gCmJ6p7gsBjTcy7KJvEP1A","Henderson",5,"Style 5 Hair Salon",-115.0502202,"NV",3.5,36.0224814,"business"
"4847","94u9GmEjtJqtImjdjMlsbQ","Henderson",4,"Fantastic Sams",-115.0639117,"NV",4,36.0256667,"business"
"4848","ma7ARHCkTpQ2TXbCwwJ6JQ","Henderson",3,"The UPS Store",-115.050918579102,"NV",4,36.0222816467285,"business"
"4849","UT4FXUapH1WWKoxuR36DIw","Henderson",4,"Foothills Cleaners",-115.0502202,"NV",4,36.0224814,"business"
"4850","Dvulg9cc3XHkt5DkBUekhw","Las Vegas",10,"Great Clips",-115.1533034,"NV",2.5,36.0121499,"business"
"4851","hr41l2QX7OHh3k_x0Zk2Vw","Henderson",36,"Jesse's Pizza",-115.0502202,"NV",3.5,36.0224814,"business"
