"","business_id","open","review_count","longitude","latitude","stars","attributes.PriceRange","attributes.Ambience.romantic","attributes.Ambience.intimate","attributes.Ambience.touristy","attributes.Ambience.hipster","attributes.Ambience.divey","attributes.Ambience.classy","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Ambience.casual","metroArea"
"1","vcNAWiLM4dR7D2nwwJ7nCA",TRUE,7,-111.983758,33.499313,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"331","x5Mv61CnZLohZWxfCVCPTQ",TRUE,12,-112.0734183,33.4795416,2.5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PHOENIX"
"332","2ZnCITVa0abGce4gZ6RhIw",TRUE,5,-112.074315,33.468988,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"333","EmzaQR5hQlF0WIl24NxAZA",TRUE,20,-112.0717019,33.4483992,2.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PHOENIX"
"334","SiwN7f0N4bs4ZtPc4yPgiA",TRUE,15,-112.074225,33.456068,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"335","M-MFa0YErVBbFW2IJhGJmw",TRUE,28,-112.0658058,33.4767839,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"336","KPoTixdjoJxSqRSEApSAGg",TRUE,281,-112.07352364174,33.477933965703,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"PHOENIX"
"337","OtDcALEX6-LfEOQE0QgHYw",TRUE,12,-111.97048,33.319011,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"338","werWnE_3k8GYVaMuUcWw4g",TRUE,5,-112.074821472168,33.4702415466309,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"339","1acmBPmmFDovVSHHzMrJ9A",TRUE,11,-112.06982,33.47081,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"340","cBH0kCvvUjQ9DBaAMUDSMw",TRUE,4,-112.07455859259,33.4492572677437,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"341","fpL1qcZ6qbWzC79WU0E-Ug",TRUE,10,-112.074326,33.46084,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"342","7Z7IkR_-94AjUuDw0fbI7g",TRUE,52,-112.0674695,33.4657106,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"343","e5kc0CQ4R-PCCDgb274gSg",TRUE,176,-112.0691194,33.4526031,3.5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"PHOENIX"
"344","gBcpDl0quCLABsg5OuSFww",FALSE,11,-112.0656645,33.4495394,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"345","icFE83PXkjKBma3azYqanw",TRUE,4,-112.0737871,33.4424729,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"346","M2tiVOrtmsfi89C5WXtYjg",TRUE,6,-112.073486,33.473742,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"347","72N6TdH5MdUWE2YhYRbyxw",TRUE,7,-112.074248,33.47626,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"348","545sP7uSdCcKDZ-reeVOgQ",TRUE,13,-112.0699472,33.4506843,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"349","SG_gEmEXL4ID6RAEinC5Bg",TRUE,97,-112.072935,33.473182,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"350","RA2EuX04SHqmayKpLhpNvA",TRUE,54,-112.07058549827,33.450707465886,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"351","Z9GH9bo8SHKx3oOokhHLyw",TRUE,5,-112.0693818,33.4641421,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"352","neGAQFkBNI8-rpPBLBzNkw",TRUE,6,-112.06909,33.46544,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"353","45puCRQ6Vh_IIAy7kkfFDQ",TRUE,157,-112.0712574,33.4484654,3.5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"PHOENIX"
"354","YLyEGXEgh1qh8y4kWEsddw",TRUE,5,-112.0738185,33.4501973,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"355","yR3U7jOgoD0V0sGovuyt0Q",TRUE,17,-112.0772,33.449188,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"356","nc3IiY5LNdmEwUZCW84yuA",FALSE,18,-112.0693177,33.4527955,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"357","9zjSYbbWV5WHt-Jl7vE1Vw",TRUE,4,-112.0693177,33.4527955,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"358","_yfprBETaYgySkKyl8ZWMQ",TRUE,62,-112.074195861816,33.450611114502,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PHOENIX"
"359","Og03_vbBCVAFNHXgdflRLw",TRUE,20,-112.0709471,33.4469961,4.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"360","rrXhjI4YXmWO8GbmX8oGqQ",TRUE,6,-112.0686931,33.4581466,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"361","P7wKlbSRsoRrfH3DFOY08A",TRUE,40,-112.0740016,33.4756064,3.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"PHOENIX"
"362","BESmH-lmMm34_EefL8X9fQ",TRUE,161,-112.073929,33.429424,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"PHOENIX"
"363","X9ih9Iotd-VEZ8tTYfoarw",TRUE,29,-112.0716732,33.4658193,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOENIX"
"364","D09yG6Z3gcsh24Qn7Y4gYA",TRUE,65,-112.0657286,33.4657117,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"PHOENIX"
