"","business_id","open","review_count","longitude","latitude","stars","attributes.PriceRange","attributes.Ambience.romantic","attributes.Ambience.intimate","attributes.Ambience.touristy","attributes.Ambience.hipster","attributes.Ambience.divey","attributes.Ambience.classy","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Ambience.casual","metroArea"
"2","JwUE5GmEO-sH1FuwJgKBlQ",TRUE,26,-89.335844,43.238893,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MADISON"
"3","uGykseHzyS5xAMWoN6YUqA",TRUE,16,-89.353437,43.252267,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"MADISON"
"4","LRKJF43s9-3jG9Lgx4zODg",TRUE,7,-89.374983,43.251045,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"5","RgDg-k9S5YD_BaxMckifkg",TRUE,3,-89.3437217,43.2408748,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"6","oLctHIA1AxmsgOuu4dM6Vw",FALSE,10,-89.3229199,42.9685074,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"7","ZW2WeP2Hp20tq0RG1NFkoQ",TRUE,4,-89.2985442,43.0303561,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"8","95p9Xg358BezJyk1wqzzyg",TRUE,4,-89.294175,43.014093,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"9","rdAdANPNOcvUtoFgcaY9KA",TRUE,33,-89.3061344,43.0256436,3.5,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"MADISON"
"10","ZlhAvs_6ryi4_efZ1SpMbg",TRUE,3,-89.299119,43.017124,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"11","_wZTYYL7cutanzAnJUTGMA",TRUE,31,-89.303789,43.017701,3.5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"MADISON"
"12","XrzTVrJAjs0yYLvhFI9vkQ",TRUE,9,-89.285206,43.015931,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"13","1tkeiIa-daD8LbM6mHm_9A",TRUE,3,-89.3021641,43.0131557,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"14","zOc8lbjViUZajbY7M0aUCQ",TRUE,4,-89.288567,43.014164,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"15","UgjVZTSOaYoEvws_lAP_Dw",TRUE,8,-89.2986278,43.0179387,3.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MADISON"
"16","HxPpZSY6Q1eARuiahhra6A",FALSE,5,-89.4918,43.093265,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MADISON"
"17","SKLw05kEIlZcpTD5pqma8Q",TRUE,41,-89.485169,43.090642,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MADISON"
"18","77ESrCo7hQ96VpCWWdvoxg",FALSE,17,-89.4874867,43.0910607,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"MADISON"
"19","9brW55Vzyi3ItboHWfoepg",TRUE,5,-89.5099781,43.1115337,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"20","368m5-RtrrYWf4hPM_bMlg",TRUE,3,-89.5264281,43.1101571,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"21","YjoSdr8uJslIebsQP6c18w",TRUE,3,-89.527273,43.077415,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"22","rKNtd_M2kWDW8sQKYzetKA",TRUE,6,-89.516038,43.096271,4.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"23","x7xS2DJvu8klyNzcpN8QHg",TRUE,5,-89.4860822,43.1030719,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"24","KTqNU4plO23583DYAMGXYg",TRUE,3,-89.4862189,43.1003841,3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MADISON"
"25","cgCqxPhadIAlsqnD1MoWuQ",TRUE,4,-89.5235246,43.0954975,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"26","YDUB7-NgjKEFn8CERLoKXQ",TRUE,3,-89.5277025,43.0929029,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"27","x7pStpT09Tdc8d7oRU0Tmw",TRUE,7,-89.52845,43.091816,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"28","1-EIdeHewfEVcpoZm38N8A",TRUE,22,-89.513737,43.096359,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADISON"
"29","MKsb2VpLB-0UBODcInDsSw",TRUE,12,-89.5006856,43.0970483,2.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MADISON"
