Block_Group,Population
40130101011,2157
40130101012,1716
40130101013,1200
40130101021,859
40130101022,1728
40130101023,2053
40130304011,1689
40130304012,1211
40130304013,1383
40130304021,690
40130304022,1616
40130304023,1589
40130405021,453
40130405022,789
40130405023,2371
40130405024,1248
40130405061,1734
40130405062,1258
40130405063,989
40130405064,1228
40130405071,1410
40130405072,2326
40130405073,751
40130405074,787
40130405075,823
40130405121,1690
40130405131,1365
40130405132,1666
40130405141,1922
40130405142,1182
40130405151,2511
40130405152,2281
40130405161,782
40130405162,2074
40130405171,4058
40130405172,3563
40130405181,1767
40130405182,1866
40130405183,1056
40130405184,1126
40130405185,864
40130405191,1785
40130405192,751
40130405193,1059
40130405201,2537
40130405202,1605
40130405211,4560
40130405221,1771
40130405222,1310
40130405223,1100
40130405231,3300
40130405241,828
40130405242,646
40130405251,554
40130405252,463
40130405253,534
40130405254,537
40130405255,563
40130405256,395
40130405261,1144
40130405262,325
40130405263,896
40130405271,576
40130405272,1013
40130405273,2595
40130405281,946
40130405282,956
40130405283,790
40130405284,821
40130405285,1330
40130405286,1369
40130405291,1047
40130405292,739
40130405293,223
40130405294,1213
40130405301,1615
40130405302,1944
40130405311,1371
40130405312,829
40130405313,242
40130405314,953
40130506031,1116
40130506032,2888
40130506033,532
40130506041,2491
40130506042,1236
40130506051,2050
40130506052,1604
40130506053,2174
40130506061,1556
40130506062,2608
40130506063,2635
40130506071,944
40130506072,951
40130506073,1861
40130506074,1298
40130506075,1451
40130506081,1610
40130506082,1042
40130506083,2232
40130506084,2279
40130506091,2229
40130506092,1000
40130506093,1645
40130506101,3501
40130506102,3316
40130506103,1098
40130506111,3447
40130506112,1030
40130507011,2697
40130507012,2395
40130507021,1713
40130507022,1598
40130507023,1969
40130608011,1283
40130608012,1295
40130608013,1078
40130608014,1197
40130608015,979
40130608021,717
40130608022,1258
40130609011,622
40130609012,1809
40130609013,2209
40130609021,971
40130609022,1214
40130609023,1657
40130609031,818
40130609032,1135
40130609033,1643
40130609034,1387
40130609041,845
40130609042,1547
40130609043,1135
40130610091,3169
40130610092,1970
40130610093,1279
40130610094,1900
40130610101,1591
40130610102,1576
40130610103,1471
40130610111,1407
40130610112,4298
40130610121,2159
40130610122,1744
40130610123,2063
40130610124,1714
40130610131,2905
40130610132,2804
40130610141,2974
40130610142,1931
40130610151,2395
40130610152,1195
40130610153,2167
40130610161,4614
40130610171,3496
40130610181,1623
40130610182,1656
40130610183,1381
40130610191,628
40130610192,626
40130610193,1907
40130610201,1008
40130610202,1220
40130610203,1607
40130610211,1753
40130610221,2910
40130610222,3422
40130610223,2537
40130610231,2667
40130610232,1710
40130610233,2103
40130610234,2720
40130610241,2177
40130610251,1878
40130610252,2289
40130610253,3278
40130610261,3116
40130610262,2342
40130610271,1177
40130610272,1199
40130610273,1529
40130610274,1105
40130610275,529
40130610281,2417
40130610291,1409
40130610292,920
40130610293,1454
40130610294,1122
40130610301,2211
40130610302,2136
40130610303,2925
40130610311,3315
40130610321,1837
40130610322,1912
40130610323,777
40130610324,1053
40130610331,1880
40130610332,2148
40130610333,1983
40130610341,2058
40130610342,1477
40130610343,2293
40130610344,936
40130610351,1763
40130610352,1444
40130610353,1885
40130610354,1607
40130610361,458
40130610362,2031
40130610371,1784
40130610372,2173
40130610381,1528
40130610382,1399
40130610383,1598
40130610391,2165
40130610392,585
40130610393,958
40130610401,1456
40130610402,875
40130610403,1598
40130610411,873
40130610412,1158
40130610413,1579
40130610414,709
40130610421,188
40130610422,329
40130610423,270
40130610424,1333
40130610431,1281
40130610432,1171
40130610441,1821
40130610442,1766
40130610443,1966
40130610451,1611
40130610452,1811
40130610453,1538
40130610461,1534
40130610462,3649
40130610471,2553
40130610472,711
40130611001,1485
40130611002,546
40130611003,1405
40130612001,2054
40130612002,1045
40130612003,2001
40130612004,1014
40130613001,1930
40130614011,956
40130614012,1016
40130614021,2061
40130614022,1547
40130614023,1897
40130715031,688
40130715032,690
40130715033,923
40130715034,2407
40130715041,709
40130715042,987
40130715043,547
40130715044,1151
40130715051,2344
40130715052,663
40130715053,1251
40130715054,1706
40130715061,947
40130715062,1651
40130715063,707
40130715064,955
40130715091,2116
40130715092,932
40130715093,1110
40130715094,1243
40130715101,1924
40130715102,1342
40130715103,812
40130715111,2182
40130715112,1157
40130715121,1927
40130715122,1023
40130715123,1508
40130715124,1459
40130715131,738
40130715132,812
40130715141,757
40130715142,1132
40130715143,2132
40130715151,1029
40130715152,952
40130715153,1693
40130715161,1843
40130715162,1043
40130715171,1414
40130715172,864
40130715173,1462
40130716001,1784
40130716002,1884
40130717011,2634
40130717021,700
40130717022,556
40130717023,675
40130717024,813
40130717025,475
40130718011,1978
40130718012,584
40130718013,991
40130718014,585
40130718015,494
40130718016,516
40130718021,915
40130718022,908
40130718023,698
40130718024,781
40130719031,866
40130719032,1011
40130719033,912
40130719034,718
40130719035,714
40130719036,1025
40130719037,1060
40130719061,2387
40130719062,2266
40130719063,1163
40130719091,806
40130719092,985
40130719093,870
40130719094,1136
40130719101,1264
40130719102,953
40130719103,860
40130719104,1638
40130719105,1503
40130719111,3081
40130719121,743
40130719122,551
40130719123,1523
40130719131,2259
40130719132,1818
40130719133,994
40130719141,826
40130719142,932
40130719143,1367
40130719151,1109
40130719152,961
40130719153,1369
40130820021,2156
40130820022,2126
40130820023,1525
40130820071,2003
40130820072,2074
40130820081,1754
40130820082,1624
40130820083,1680
40130820091,2254
40130820092,2414
40130820101,1847
40130820102,2084
40130820121,2865
40130820122,2843
40130820161,2348
40130820171,2910
40130820172,1365
40130820181,2663
40130820182,2022
40130820191,1046
40130820192,1345
40130820201,1796
40130820202,2037
40130820211,2070
40130820221,2821
40130820222,1350
40130820231,1237
40130820232,2063
40130820233,2066
40130820241,1453
40130820242,2628
40130820251,2378
40130820261,2695
40130820262,3300
40130820271,1295
40130820272,2683
40130820281,1660
40130820282,2554
40130822031,3269
40130822032,1894
40130822033,2349
40130822041,2210
40130822042,3149
40130822051,1977
40130822052,3147
40130822061,3092
40130822071,1037
40130822072,1357
40130822081,1929
40130822082,962
40130822091,726
40130822092,2114
40130822101,2777
40130822102,1856
40130822111,679
40130822112,3554
40130822113,590
40130830001,3205
40130830002,2140
40130830003,1200
40130923051,1956
40130923052,1711
40130923061,1258
40130923062,1464
40130923063,1533
40130923064,1638
40130923071,1552
40130923072,1109
40130923073,1974
40130923074,1212
40130923081,1539
40130923082,2007
40130923083,1363
40130923084,1703
40130923091,1297
40130923092,1444
40130923093,1664
40130923094,807
40130923111,836
40130923112,2040
40130923121,990
40130923122,1918
40130923123,1104
40130923124,989
40130924011,1063
40130924012,1301
40130924013,1681
40130924021,1096
40130924022,1304
40130924023,969
40130925001,1378
40130925002,1814
40130925003,906
40130925004,837
40130926001,1042
40130926002,1326
40130926003,809
40130927051,1455
40130927052,2247
40130927081,2056
40130927091,2774
40130927092,1356
40130927101,1833
40130927102,2436
40130927111,1527
40130927112,1593
40130927121,2565
40130927122,2340
40130927131,2347
40130927132,2680
40130927151,944
40130927152,1612
40130927153,1481
40130927161,1677
40130927162,1211
40130927163,1020
40130927171,2872
40130927172,1998
40130927181,1262
40130927182,2529
40130927191,2060
40130927192,2217
40130927201,846
40130927202,1103
40130927203,756
40130927204,1702
40130927211,1421
40130927212,1380
40130927231,2441
40130927232,1673
40130927241,1237
40130927242,1294
40130927243,941
40130928011,1412
40130928012,980
40130928013,1162
40130928014,1202
40130928021,1853
40130928022,882
40130928023,574
40130928024,1908
40130929001,1669
40130929002,1197
40130930011,2256
40130930012,1447
40130930013,1138
40130930021,773
40130930022,1934
40130930023,1375
40130931011,896
40130931012,1189
40130931013,1101
40130931014,1361
40130931041,1811
40130931042,1016
40130931043,667
40130931044,891
40130931051,1046
40130931052,1102
40130931053,1791
40130931054,1303
40130931061,1599
40130931062,1133
40130931063,1336
40130932001,1014
40130932002,81
40130932003,2260
40131032051,1431
40131032052,1221
40131032061,1180
40131032062,1341
40131032071,1145
40131032072,1314
40131032081,1407
40131032082,1555
40131032083,965
40131032091,772
40131032092,786
40131032093,2140
40131032094,1655
40131032101,898
40131032102,1473
40131032103,1408
40131032104,1046
40131032105,479
40131032106,740
40131032111,1140
40131032112,1907
40131032113,1348
40131032121,1580
40131032122,1412
40131032123,1253
40131032141,1050
40131032142,1677
40131032143,1125
40131032151,1488
40131032152,1291
40131032161,1150
40131032162,1427
40131032163,1436
40131032164,1179
40131032171,1288
40131032172,1746
40131032173,1638
40131032174,1623
40131032191,1004
40131032192,994
