"","business_id","open","review_count","longitude","latitude","stars","attributes.PriceRange","attributes.Ambience.romantic","attributes.Ambience.intimate","attributes.Ambience.touristy","attributes.Ambience.hipster","attributes.Ambience.divey","attributes.Ambience.classy","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Ambience.casual","metroArea"
"4823","IjcKyB-LUnev2iapzyJ11w",TRUE,16,-115.0839455,36.0274982,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4824","Y3jVDgLRULH52M4_fXQOug",TRUE,18,-115.063136,36.025017,1.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VEGAS"
"4825","SP5yg5966RD-1qcgYmDGdg",TRUE,17,-115.07668,36.0060209,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4826","gfamsLvfcxwJ8cS1i7WCJg",TRUE,13,-115.048919677734,36.0204162597656,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4827","EC1kiRed8UwOGX6Ftqc9Tg",TRUE,6,-115.047841,36.022027,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4828","CwTYM1-zs80BB1AWJrWmxQ",TRUE,36,-115.063401,36.024514,3.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"VEGAS"
"4829","vKucFgOyPBx0yeNxnlmsXA",TRUE,3,-115.045795,36.065797,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4830","PaLJoYycupjosFKHTNzpHQ",TRUE,30,-115.0458375,36.0595946,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"VEGAS"
"4831","1kVg1hADY5MUGMYuuHRJSw",TRUE,9,-115.047811,36.020606,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VEGAS"
"4832","uzztTCsg3XAKlYqmLO40aw",TRUE,7,-115.1194225,36.0839363,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4833","aPCjthx3e3C2f2lSdhwVsQ",TRUE,17,-115.047811,36.020606,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4834","bjOoO1Cfv3E4Oowes0kzDg",FALSE,4,-115.049224,36.021584,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4835","TxL5an-BgZ25rG_1qw9lJQ",TRUE,6,-115.046437,36.026002,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4836","oksXk_PEtYrWJJBGNhl5zw",FALSE,10,-115.029916,36.030262,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4837","6Fi-mc1UF6XJzpzzPtrsAg",TRUE,13,-114.9928399,36.0116136,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4838","QOpiGIFYkEFBErFSyGTbDA",TRUE,4,-115.027619,36.028266,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4839","V6csWcyvwOg_E2ni3V_CgA",TRUE,57,-115.0469723,36.022941,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"VEGAS"
"4840","YWLO4XUYsyMyEc0ciUAp0Q",TRUE,4,-115.027505,36.0304689,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4841","RBv779mYU5Qh9opHID3sSQ",TRUE,6,-115.0476082,36.0198125,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4842","4Yey1uA5MgbioqvkANN-9Q",TRUE,7,-115.046604,36.022302,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4843","7uF3f4YrF5MQEPTKfEEPiw",TRUE,6,-115.0832881,36.0048909,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4844","aL3jh6_oa9rrSIP7kgtwPw",TRUE,3,-115.0856611,36.0273573,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4845","IspFZDcpu9W5NvvJ7QgJZg",TRUE,6,-115.146372,36.124423,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4846","gCmJ6p7gsBjTcy7KJvEP1A",TRUE,5,-115.0502202,36.0224814,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4847","94u9GmEjtJqtImjdjMlsbQ",TRUE,4,-115.0639117,36.0256667,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4848","ma7ARHCkTpQ2TXbCwwJ6JQ",TRUE,3,-115.050918579102,36.0222816467285,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4849","UT4FXUapH1WWKoxuR36DIw",TRUE,4,-115.0502202,36.0224814,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4850","Dvulg9cc3XHkt5DkBUekhw",TRUE,10,-115.1533034,36.0121499,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4851","hr41l2QX7OHh3k_x0Zk2Vw",TRUE,36,-115.0502202,36.0224814,3.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"VEGAS"
"4852","bhdop9MG7r1il2522gTOjA",TRUE,7,-115.063401,36.024514,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"VEGAS"
"4853","dWupdkYxwc-7SgRl8DSC-w",TRUE,5,-115.0861874,36.0210858,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4854","DiVhCV8JMWIpOK3VFLDCow",TRUE,25,-114.967027,36.0786771,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4855","GYmWKAAiWTn1_grmBZrCNQ",TRUE,3,-115.0525302,36.0633189,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4856","dS5qlJ6au0Wz9FwmbPSjYA",TRUE,166,-115.0414116,36.0613259,3.5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"VEGAS"
"4857","j1BASG5Kvt6dqfjCmtjtuA",TRUE,4,-115.0404429,36.063823,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4858","pEgp9tvTor_32ZXkMO_1Yw",TRUE,10,-115.053115,36.047115,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4859","oD2qusBcJwPHhB6APuu59A",TRUE,16,-115.24878,36.211152,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4860","TFHOYIIg2ABRyNaMZ5syNQ",TRUE,19,-115.036978,36.060944,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4861","7qacXf5-HaOX5chrWg1__w",TRUE,4,-115.0451696,36.0701109,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
"4862","MBEbgPpLAD5DzceJwwcE4A",TRUE,10,-115.0364034,36.063335,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEGAS"
