"","business_id","longitude","latitude","stars"
"1","vcNAWiLM4dR7D2nwwJ7nCA",-111.983758,33.499313,3.5
"2","JwUE5GmEO-sH1FuwJgKBlQ",-89.335844,43.238893,4
"3","uGykseHzyS5xAMWoN6YUqA",-89.353437,43.252267,4
"4","LRKJF43s9-3jG9Lgx4zODg",-89.374983,43.251045,4.5
"5","RgDg-k9S5YD_BaxMckifkg",-89.3437217,43.2408748,4
"6","oLctHIA1AxmsgOuu4dM6Vw",-89.3229199,42.9685074,1.5
"7","ZW2WeP2Hp20tq0RG1NFkoQ",-89.2985442,43.0303561,2
"8","95p9Xg358BezJyk1wqzzyg",-89.294175,43.014093,2.5
"9","rdAdANPNOcvUtoFgcaY9KA",-89.3061344,43.0256436,3.5
"10","ZlhAvs_6ryi4_efZ1SpMbg",-89.299119,43.017124,4.5
"11","_wZTYYL7cutanzAnJUTGMA",-89.303789,43.017701,3.5
"12","XrzTVrJAjs0yYLvhFI9vkQ",-89.285206,43.015931,5
"13","1tkeiIa-daD8LbM6mHm_9A",-89.3021641,43.0131557,1.5
"14","zOc8lbjViUZajbY7M0aUCQ",-89.288567,43.014164,3.5
"15","UgjVZTSOaYoEvws_lAP_Dw",-89.2986278,43.0179387,3.5
"16","HxPpZSY6Q1eARuiahhra6A",-89.4918,43.093265,4
"17","SKLw05kEIlZcpTD5pqma8Q",-89.485169,43.090642,3
"18","77ESrCo7hQ96VpCWWdvoxg",-89.4874867,43.0910607,3
"19","9brW55Vzyi3ItboHWfoepg",-89.5099781,43.1115337,2.5
"20","368m5-RtrrYWf4hPM_bMlg",-89.5264281,43.1101571,3.5
"21","YjoSdr8uJslIebsQP6c18w",-89.527273,43.077415,4.5
"22","rKNtd_M2kWDW8sQKYzetKA",-89.516038,43.096271,4.5
"23","x7xS2DJvu8klyNzcpN8QHg",-89.4860822,43.1030719,5
"24","KTqNU4plO23583DYAMGXYg",-89.4862189,43.1003841,3
"25","cgCqxPhadIAlsqnD1MoWuQ",-89.5235246,43.0954975,3
"26","YDUB7-NgjKEFn8CERLoKXQ",-89.5277025,43.0929029,4
"27","x7pStpT09Tdc8d7oRU0Tmw",-89.52845,43.091816,3.5
"28","1-EIdeHewfEVcpoZm38N8A",-89.513737,43.096359,4
"29","MKsb2VpLB-0UBODcInDsSw",-89.5006856,43.0970483,2.5
"30","ShEYKerTwb2LSORE5o_s7A",-89.496995,43.107227,3.5
"31","HaBkx5PwvbBpQ2iNCgHnVQ",-89.5111616,43.1014598,3.5
"32","KW6HejC-67KSL9J8Cz1dSw",-89.528480180844,43.075345267736,3
"33","wl-7A4jC0f27MOEmW-XTbQ",-89.4864907,43.1036633,3
"34","NGj-_5pkHc_DbH5bKUH2Xw",-89.511068,43.100808,5
"35","suQyHycqv8nA7EualcUB3g",-89.5241674,43.0905631,3
"36","3jpKGDkFrCHpjEYVEgcG0A",-89.5256818,43.0904559,3
"37","AYoLKzRFajucKnjIFxc__A",-89.5235823,43.0954855,2.5
"38","c5awCF5eu0ZkxUf_i94uPA",-89.491807,43.103427,3.5
"39","GHvLvSN_imiXxqsgFPskWA",-89.4876798,43.1031224,5
"40","uga5g16PncJOtY7Sc3A05w",-89.5250779,43.090653,4
"41","9874O-3GjXPotxYKNNAz5Q",-89.5022518,43.082611,5
"42","naqkXvhoqljvA7kuo15gEw",-89.5233883,43.0901268,3.5
"43","xbJ9tdGbcVJIUkNgHSCwZQ",-89.5128222,43.095696,2.5
"44","koRLvzIl-4fCybOIdk56jA",-89.5110574,43.0955526,4
"45","ckLRf3lYn9DxmNxd-mu2yA",-89.523172,43.087887,2.5
"46","Bznf9AaGgdsLI01H_ifrUA",-89.511857,43.1083799,3.5
"47","YaaQx4qt1f36iFT4TWivAw",-89.51178,43.1060972,3.5
"48","MBQc_jlZ3nlMOZy7SUM_5Q",-89.525484,43.092882,4
"49","yuIcDVSy03FQe1RWhicDQw",-89.4864822,43.1020783,5
"50","cruBFtsFaBuhX_I72uU8pA",-89.4949208,43.0955472,1.5
"51","X47o6R2rWiqGqvBtC7VS3Q",-89.511243,43.0999335,4
"52","_tnYCShXuDlXjNVNctTkCA",-89.4904366,43.0926846,4.5
"53","elBgDynz6UPoSqQgxiggJw",-89.4971837,43.1077693,5
"54","lN-5-YTsaJr_IByyA476iw",-89.4997902,43.0969474,4
"55","yNayFIJemmt-J3fNvmwuKA",-89.5092899,43.094959,3.5
"56","IEmqrFe96NOhU07TA0rZdw",-89.4944219,43.104535,2
"57","LOp0ciu7XhZwTqZUWG8qCw",-89.5277451,43.0994184,5
"58","O16EckCLtNoA49hewGht_w",-89.493464,43.095357,5
"59","8MqyXoay37xSmlUKjYv1XA",-89.4950894,43.097044,4.5
"60","KFJ1jBfFkRfyn3AoAUl3YQ",-89.5160417,43.0976883,4
"61","h8sRoUSjulDu9MfeUTEu6Q",-89.5586484,43.0570227,3.5
