"","FIPS2","business_id","stars","land_area","Population"
"1","040070007001","Ye-zElW9dP4gZwOx06gUfg",4,NA,NA
"2","040070007001","Ye-zElW9dP4gZwOx06gUfg",4,NA,NA
"3","040070007001","_ohbwLmT7WO6CXgRLx5xlA",3.5,NA,NA
"4","040070007001","_ohbwLmT7WO6CXgRLx5xlA",3.5,NA,NA
"5","040070007001","105X3fhBCmSNh4NmVtkKcA",4,NA,NA
"6","040070007001","105X3fhBCmSNh4NmVtkKcA",4,NA,NA
"7","040130101012","xpOJUb79vbrQUSIflDrrjA",4.5,29375055,1716
"8","040130101012","is-olmqaSZ0KCoe-_ftW5w",3.5,29375055,1716
"9","040130101013","hrvj4RyT-a12llLSyCaaZw",4.5,6873641,1200
"10","040130101013","lD5Xn79OBBuDf0zyv_3cWw",4,6873641,1200
"11","040130101021","2zupjbOvisWsHYr5_6G6NQ",4,2369776176,859
"12","040130101021","ZuFdIKk_5x140kpUmRTo2w",5,2369776176,859
"13","040130101021","5ILGSRh_dKKCl-sRgQBsUw",5,2369776176,859
"14","040130101021","z8QrhQmBkdUMyOV6x_faVQ",4,2369776176,859
"15","040130101021","6I-mDaBLkOFrN-XkMWPr7g",4,2369776176,859
"16","040130101021","bpPVn4nF8YR40BjhO6YP1w",3,2369776176,859
"17","040130101021","jcQgDviuCuJLJWjYoTy9MA",5,2369776176,859
"18","040130101021","IYeenY7HilJrKUIur3Eijw",3,2369776176,859
"19","040130101021","62oYa2S7MiN-Qta4c7Q6ww",3.5,2369776176,859
"20","040130101021","XfFdm2wlaO3IDh-i1O-DTQ",3.5,2369776176,859
"21","040130101021","qR83gr56v7IjWEyfxAkg7A",3,2369776176,859
"22","040130101021","INHDFn2183h8xMCDj9B1iQ",4.5,2369776176,859
"23","040130101021","EZ0-uqaHpAEIJu3s9497Rw",4.5,2369776176,859
"24","040130101021","2xuhzqiZz4T5vNdzEgT7fQ",3.5,2369776176,859
"25","040130101021","l3WML3zeuotwUHzhbwCj_w",4,2369776176,859
"26","040130101021","LomlpadLEsfLu2O7lPWPJA",3,2369776176,859
"27","040130101021","xsrgYzugnt-VwQPOtKiqjA",4,2369776176,859
"28","040130101021","YP57LfD1e1zEaWkQTXNP-w",3.5,2369776176,859
"29","040130101023","Hl_3pronSnoHl7Iyyy78Qw",5,326768759,2053
"30","040130101023","QVBa3aftc-hUna080JfkfQ",4.5,326768759,2053
"31","040130304011","s53RNod_OseAxLYhUDhqcw",4.5,10364955,1689
"32","040130304011","9MbT6gEbJoo0TrZS5CNcPw",2.5,10364955,1689
"33","040130304011","ro17yuwmjOYk5_JwJRuAIQ",3,10364955,1689
"34","040130304011","Z85BGr-jnEWvoI4xAnoh3g",3.5,10364955,1689
"35","040130304011","fTVKujZ0ommD6wYsyxtpjw",3,10364955,1689
"36","040130304011","nXSOnl-Nj8Q9mTJlGMsHJA",5,10364955,1689
"37","040130304011","ygMppGhNqV_KBVWEUI1GRQ",5,10364955,1689
"38","040130304011","Cd6B3ErSmNwTjDlju_lU3g",3.5,10364955,1689
"39","040130304011","7a8nSGq152yAkKVKmsqpng",4,10364955,1689
"40","040130304011","8GAQrwcsaR3axffTTqqS2Q",4.5,10364955,1689
"41","040130304011","ZBkLu2Rk4LZPSr3sHpg3QQ",1,10364955,1689
"42","040130304011","xVsxFJlEQ_L-LoJU1U8A-A",4,10364955,1689
"43","040130304011","32xk3QFkMLA79lr9rUeExw",4.5,10364955,1689
"44","040130304011","87yB3LIqE5o69o0okV5SDw",5,10364955,1689
"45","040130304011","SahvCnFp3OvUVZIAYCyckw",3.5,10364955,1689
"46","040130304011","QygMZmPO8A6OaJYO2a0pnw",4.5,10364955,1689
"47","040130304011","DXQdxI-ZzC0lrks3_VbGOw",4.5,10364955,1689
"48","040130304011","K0v87iFgB3sXSzw6e-BJ5w",4.5,10364955,1689
"49","040130304011","c4FLMLP7hMnAbSiW2o_o3A",3,10364955,1689
"50","040130304011","08rnfiKapdsELiv-_RW1CA",5,10364955,1689
"51","040130304011","aDgvx-OlL69ltaOAxN4VZQ",4.5,10364955,1689
"52","040130304011","MHPXDXVE_cUYodfPhkadeQ",4,10364955,1689
"53","040130304011","954o54yKmtBrd_F3EynwNA",3.5,10364955,1689
"54","040130304011","OvyOiOodDF5iLPwHGB3Zfg",5,10364955,1689
"55","040130304011","_vXXcs_ej_u3sS-YY1CKMg",4.5,10364955,1689
"56","040130304011","0qTluM4Hs4uLMJSxesnLqQ",4.5,10364955,1689
"57","040130304011","c-uu1PnMVdwP1Gcj36keyg",3,10364955,1689
"58","040130304011","VD8a_B589J_NlCirS8QA0Q",4,10364955,1689
"59","040130304011","Oxgiv8PVn4RXth_bHSbB7A",4,10364955,1689
"60","040130304012","F2c9Mao_AU2YKObSuwjZag",4,9572928,1211
"61","040130304012","iKY2EGEVPxiAgIWC6vcFUw",3,9572928,1211
"62","040130304012","Qif8U7-p8PVK5kDtvR62uQ",4,9572928,1211
"63","040130304012","qCOAgpMJD7IVRorLgBMN_Q",4.5,9572928,1211
"64","040130304012","DCjipxC0uzhrPd_eXDjqFg",3.5,9572928,1211
"65","040130304012","nZ0mUQEdez-CHrykD2nNLA",3,9572928,1211
"66","040130304012","yRz59y1Sx7sRQAt-mb802w",2.5,9572928,1211
"67","040130304012","AwUMl0PT3mdkPS7huzEUYQ",1,9572928,1211
"68","040130304013","4_czyqhmKzymIHlKxcFJ3g",3,6579772,1383
"69","040130304013","LdI-fcJDXGE7ns_jwWY2ow",4,6579772,1383
"70","040130304013","VvoVi6kYGtYiRJ69alYChA",4,6579772,1383
"71","040130304013","rWdVhYVP5zLGe-2_zzvJiQ",4.5,6579772,1383
"72","040130304013","kaKcAIlXn9l89pT2evMr4Q",3.5,6579772,1383
"73","040130304013","uf4AWTEI6RmRUXx-28MZsg",3.5,6579772,1383
"74","040130304013","ed11WKT1aCzQHndTiEHZHA",5,6579772,1383
"75","040130304013","5_WcIgkpLjPuSx48UYhT8w",4.5,6579772,1383
"76","040130304013","MoDHbrMoGnLhbMIGgZZOwQ",4.5,6579772,1383
"77","040130304013","jdStuaC_1leN_DNGcQ0yEw",5,6579772,1383
"78","040130304013","laHph41d1nMBhCJJ9Kl8gA",4,6579772,1383
"79","040130304013","WFDxa8r0sT2ZnehYTyT1LQ",4.5,6579772,1383
"80","040130304013","mtcgp1vt-XeYXL9YCpcZsQ",3.5,6579772,1383
"81","040130304021","OzX6PCBFBAwqyTCN_EACtg",5,36105508,690
"82","040130304021","I51yBCerhMqFkX9idoA34w",4.5,36105508,690
"83","040130304022","Je8QTq9npdNeQLEMEgw8Zg",4,12251222,1616
"84","040130304022","4pC4jMoanLySaOgGRwyXLQ",4.5,12251222,1616
"85","040130304022","gZ3GVh4aER2q6_UdA6fTKw",4,12251222,1616
"86","040130304022","fP_kRceHkKxPqgf0o1RfUQ",2.5,12251222,1616
"87","040130304022","5kB59vuc4yufpGNNrF3Efw",4,12251222,1616
"88","040130304022","HgBIrxZZHp8w2ndXjKgcrQ",3.5,12251222,1616
"89","040130304022","b44KN8PhP3EUjr1Tmivlpw",4.5,12251222,1616
"90","040130304022","Sem-1XGzHHVqMCATBbJnmA",4.5,12251222,1616
"91","040130304022","#NAME?",4.5,12251222,1616
"92","040130304022","yJMLD-6AggZNdC-GonVBsA",4.5,12251222,1616
"93","040130304022","TehSM5JrMRikSnjnnfulbw",4,12251222,1616
"94","040130304022","VrQixSWtSrp1yLceYoD7eA",4,12251222,1616
"95","040130304022","jI9C0j1wQ985aYxNxCU44Q",3.5,12251222,1616
"96","040130304022","M75Mj9JwbL_2dDsyXQiUSw",2.5,12251222,1616
"97","040130304022","nbUFQy1d04CL2QEWstCD-g",3.5,12251222,1616
"98","040130304022","QdwgrqNQAx--q3gGuxOH1A",4,12251222,1616
"99","040130304022","jnzROxEjNkgeo5Ju3F8qzQ",3.5,12251222,1616
"100","040130304022","YOlwn4aUSQX6fckAFRWvJw",3,12251222,1616
"101","040130304022","QaYbXnV84aD-BdZ56EFUTw",4,12251222,1616
"102","040130304022","POLmm9JrxZ6h3f6IHfvSNA",3,12251222,1616
"103","040130304022","C2FC_hsVG4rupRESeUnrcA",5,12251222,1616
"104","040130304022","xRp_2EiEJwK0uF7p27FjEw",5,12251222,1616
"105","040130304022","0-A_cxbEmlkkq0362cvi3A",4.5,12251222,1616
"106","040130304022","4CgoGDd236jY7VaSoFmB1w",4,12251222,1616
"107","040130304022","NfTevFGlHh1tnEZzFNE0ag",4.5,12251222,1616
"108","040130304022","9HwUkbKAv7dO3MGlkkJJSg",3.5,12251222,1616
"109","040130304022","DX3c5h43-mOy-eNNuX4kMQ",5,12251222,1616
"110","040130304022","zDBht2H2UanePW1z2td8xA",4,12251222,1616
"111","040130304022","xpDSQoFsLQd8uojwjSic5w",4.5,12251222,1616
"112","040130304022","6tqxE0g6CtPe06dQ0ETGOw",3.5,12251222,1616
"113","040130304022","qFQRDl-ehGEncbSuNEvz2g",4.5,12251222,1616
"114","040130304022","2580mTGc0WA7tp9v0kCyBA",4.5,12251222,1616
"115","040130304022","4FmFTk3qmd5inT-ZGFYwgw",4,12251222,1616
"116","040130304022","KleJUKZjGFFhybrcpZIyHQ",4.5,12251222,1616
"117","040130304022","sL3NT6reSwwMMRFcsDzX9g",4.5,12251222,1616
"118","040130304023","10RoUv7N_K3amPyJ3Ao2YQ",3.5,9827944,1589
"119","040130304023","Qq90BiOx_FWRUDq6afvghw",4.5,9827944,1589
"120","040130304023","_F2DNPjsqgkAd50zuX8dYQ",3.5,9827944,1589
"121","040130304023","LExIN2v3S3o91CQl4vYPEA",4.5,9827944,1589
"122","040130304023","pG1_llTQIrd5NRc_acQMKQ",3,9827944,1589
"123","040130304023","wL1JUkHy306MfRHptxZbvQ",5,9827944,1589
"124","040130304023","GxdZQR0JvcOGHCFjhGSMJQ",3.5,9827944,1589
"125","040130304023","BfDgmYTPfD1eEs21On4FXA",3,9827944,1589
"126","040130304023","k0MdD8epizjWxWsxY6by4g",5,9827944,1589
"127","040130304023","x_RoNj68Go-mjJPYwPKnkg",5,9827944,1589
"128","040130304023","TBVBZLBsaB3NuOJ5hnbGrg",4.5,9827944,1589
"129","040130304023","PRPEuoprCr1iBowxWgMZ9g",4,9827944,1589
"130","040130304023","7Z_VmjR74f2Wf-hTBPDF3g",3.5,9827944,1589
