FIPS,land_area
320030001011,839727
320030001012,895708
320030001013,1188255
320030001014,520668
320030001015,273968
320030001031,286505
320030001032,310460
320030001033,339431
320030001034,373256
320030001051,1039559
320030001052,465320
320030001053,553448
320030001061,387915
320030001062,669025
320030001063,310268
320030001071,542524
320030001072,715720
320030001081,301675
320030001082,647192
320030001091,405630
320030001092,220888
320030001093,346880
320030002011,669999
320030002012,285508
320030002013,1235501
320030002031,502207
320030002032,312641
320030002033,870964
320030002034,332230
320030002041,588336
320030002042,1141107
320030003011,642959
320030003012,2213814
320030003013,791637
320030003021,652543
320030003022,487326
320030003023,311980
320030003024,486344
320030003025,371003
320030004011,411795
320030004012,521190
320030004021,1083076
320030004022,113776
320030004023,186388
320030004031,323292
320030004032,117938
320030004033,213605
320030005101,207196
320030005102,327138
320030005103,340819
320030005104,269165
320030005131,502619
320030005132,394454
320030005133,432448
320030005141,121998
320030005142,511150
320030005143,342457
320030005144,744956
320030005145,192535
320030005151,330271
320030005152,329608
320030005153,505242
320030005154,179543
320030005161,304966
320030005162,331031
320030005163,289996
320030005164,905704
320030005171,326066
320030005172,432444
320030005173,339827
320030005174,248290
320030005181,536358
320030005182,244229
320030005183,516813
320030005184,404412
320030005185,142413
320030005191,353019
320030005192,222954
320030005193,606503
320030005194,163406
320030005201,276459
320030005202,295329
320030005211,192640
320030005212,241607
320030005213,165491
320030005214,207052
320030005221,222884
320030005222,253256
320030005223,161885
320030005231,629368
320030005232,284975
320030005241,338593
320030005242,148222
320030005243,231593
320030005251,249483
320030005252,146933
320030005253,246213
320030005261,315469
320030005262,331154
320030005271,175449
320030005272,332836
320030005273,257879
320030005281,118327
320030005282,193394
320030005283,272609
320030006001,261731
320030006002,378924
320030007001,232209
320030007002,220693
320030007003,668212
320030007004,357827
320030008001,357798
320030008002,361341
320030009001,715600
320030010031,1265614
320030010032,698801
320030010033,628595
320030010041,548431
320030010042,661292
320030010043,329084
320030010044,603061
320030010045,406209
320030010046,250092
320030010051,1859735
320030010052,1440160
320030010061,655667
320030010062,677582
320030010063,918720
320030011001,663710
320030011002,322373
320030011003,362866
320030012001,466210
320030012002,737067
320030012003,629748
320030013001,279441
320030013002,446964
320030013003,371639
320030013004,320888
320030013005,375428
320030014011,590427
320030014012,518553
